lat,lon,time,land
31.824587166413913,-91.42960127322738,2020-11-12 17:30:16,True
39.277807120209964,-96.04787739216749,2015-11-25 18:53:59,True
33.20721318799736,-110.76234457887244,2002-03-05 05:59:53,True
42.28390107271388,-113.5821341684843,1997-03-05 15:51:47,True
31.92652750317743,-94.07339571845279,2022-11-12 11:02:30,True
42.919231744944284,-107.11899743876877,2024-02-07 19:04:58,True
43.41831878467114,-104.14310099678019,2004-03-12 11:19:20,True
42.65866063876425,-97.49359259378957,1993-03-13 21:50:06,True
47.92392472785783,-92.60100241037172,2018-09-10 01:07:53,True
37.59867192447534,-96.56327191805626,1995-01-23 13:10:50,True
32.74246581654075,-104.7334180334586,1997-11-10 17:15:52,True
44.74737845564556,-88.60300707684347,2025-09-15 19:09:04,True
31.23344918309969,-81.65950912539188,1999-10-24 06:02:53,True
48.92904622575658,-107.22745898226702,2025-06-01 17:37:37,True
44.95768700267997,-115.28726090454884,2009-10-18 21:52:02,True
65.08587568931236,-147.47769498541408,2021-04-23 02:26:56,True
36.16573028690623,-83.65025160746123,2016-11-15 03:13:49,True
37.97168014469822,-92.26700985346606,1992-09-17 04:36:50,True
41.09262726951268,-98.01213550488517,2011-07-15 02:44:13,True
40.74305426421003,-100.10361263815305,1998-08-23 22:08:57,True
42.2170504880174,-111.38640418624041,2012-06-08 10:26:48,True
34.08832952988391,-87.92702570445057,2007-05-22 01:00:51,True
32.033814695228116,-87.50420494006264,2024-03-12 19:18:24,True
59.93422938563847,-149.48028948678524,1992-07-21 07:04:39,True
42.9123046720151,-70.82089763740741,2016-01-08 21:22:59,True
34.095210985690315,-106.06995982632233,2021-04-09 13:46:25,True
44.23111965181426,-104.28723853193488,1993-07-04 06:03:57,True
68.38500697830636,-160.95476085337032,2013-07-29 05:08:51,True
68.45347881287726,-144.85096067195207,2022-11-24 13:45:35,True
41.27952618536975,-119.32661027135029,2011-06-02 03:49:22,True
40.29683699809713,-96.90568745798402,1999-09-20 21:52:34,True
44.80304714036375,-88.17704545430117,1993-07-04 22:28:31,True
34.601648221236175,-103.63185974546396,2001-09-01 02:20:25,True
65.20637489301573,-156.06895556328195,2016-12-13 08:09:50,True
35.069254339057025,-113.35662997943359,2025-02-06 12:18:01,True
39.744429871901914,-99.73814992200822,2001-09-22 06:02:34,True
40.56375695428311,-96.1574059502117,2007-10-23 16:47:53,True
40.02972435960967,-92.9982274781164,2006-01-26 18:29:00,True
40.18395614674235,-99.19200347812482,2019-02-07 02:01:20,True
54.521745859932295,-164.78744653554264,1999-12-29 19:22:22,True
48.443467082571125,-121.33539538477581,2018-10-25 21:38:47,True
47.52457127671667,-87.20099888416283,1994-04-25 10:30:19,True
32.365000253032385,-94.03128202745886,2020-12-06 11:23:08,True
42.09467913005269,-75.75431468198822,2000-05-26 14:08:04,True
41.78974500833976,-123.47080458979826,2002-07-06 07:07:41,True
34.86980425636544,-78.61133204109379,2017-12-02 12:59:35,True
67.46963715980532,-145.17232206638198,2018-06-08 12:43:27,True
26.95833996052202,-82.12276863401954,2012-10-24 21:05:27,True
46.0897903706529,-119.51279237840211,1999-10-17 17:55:57,True
47.85850558900652,-92.344889226558,2019-02-19 05:56:17,True
48.097669209293365,-116.364577007094,2001-07-10 17:12:35,True
68.2882398038985,-164.14851017023696,2009-12-01 00:18:21,True
44.96189192845549,-112.33878739261637,2003-10-02 09:15:53,True
69.99895414274344,-158.94743927833827,2011-03-31 11:31:13,True
61.90797581105943,-163.48176026039545,1996-10-22 12:56:53,True
35.122102136603296,-90.39484736786798,1993-09-30 03:50:15,True
31.980701147313148,-99.19549472092451,2001-08-23 14:50:19,True
43.781962711104434,-87.33063537004911,2012-12-08 03:22:52,True
32.062356422044665,-96.02928891034901,1998-12-13 14:02:07,True
